0,0,1,2,3,4
3,3,"('b', ('b', ('a', 'b')))",softsign,add,86.95913461538461
4,4,"('b', ('a', ('a', 'b')))",sigmoid,sub,86.95913461538461
5,5,"(('b', ('a', 'b')), ('b', ('a', ('a', 'b'))))",sigmoid,div,86.95913461538461
0,0,"('a', 'b')",elu,mul,48.45753205128205
1,1,"('b', ('a', 'b'))",elu,mul,48.45753205128205
2,2,"('a', ('b', ('a', 'b')))",elu,add,48.45753205128205
3,3,"(('b', ('a', 'b')), ('a', ('b', ('a', 'b'))))",elu,add,48.45753205128205
4,4,"(('a', 'b'), ('b', ('a', 'b')))",softsign,mul,48.45753205128205
5,5,"(('a', 'b'), (('b', ('a', 'b')), ('a', ('b', ('a', 'b')))))",elu,sub,48.45753205128205
0,0,"('a', 'b')",elu,add,87.24959935897436
1,1,"('b', ('a', 'b'))",elu,mul,87.24959935897436
2,2,"('b', ('b', ('a', 'b')))",softsign,sub,87.24959935897436
3,3,"('a', ('a', 'b'))",sigmoid,sub,87.24959935897436
4,4,"('b', ('a', ('a', 'b')))",sigmoid,add,87.24959935897436
5,5,"(('a', 'b'), ('b', ('b', ('a', 'b'))))",elu,add,87.24959935897436
0,0,"('a', 'b')",softsign,div,9.815705128205128
1,1,"('b', ('a', 'b'))",sigmoid,div,9.815705128205128
2,2,"('a', ('b', ('a', 'b')))",softsign,mul,9.815705128205128
3,3,"('a', ('a', 'b'))",softsign,sub,9.815705128205128
4,4,"(('a', 'b'), ('a', ('b', ('a', 'b'))))",sigmoid,add,9.815705128205128
5,5,"(('a', 'b'), ('b', ('a', 'b')))",softsign,sub,9.815705128205128
0,0,"('a', 'b')",softsign,div,9.785657051282051
1,1,"('b', ('a', 'b'))",softsign,mul,9.785657051282051
2,2,"('a', ('a', 'b'))",elu,add,9.785657051282051
3,3,"('a', ('b', ('a', 'b')))",sigmoid,div,9.785657051282051
4,4,"(('a', 'b'), ('a', ('b', ('a', 'b'))))",elu,mul,9.785657051282051
5,5,"(('a', 'b'), ('a', ('a', 'b')))",elu,div,9.785657051282051
0,0,"('a', 'b')",elu,sub,9.785657051282051
1,1,"('a', ('a', 'b'))",softsign,div,9.785657051282051
2,2,"(('a', 'b'), ('a', ('a', 'b')))",softsign,mul,9.785657051282051
3,3,"('b', ('a', ('a', 'b')))",sigmoid,sub,9.785657051282051
4,4,"(('a', 'b'), (('a', 'b'), ('a', ('a', 'b'))))",elu,add,9.785657051282051
5,5,"((('a', 'b'), ('a', ('a', 'b'))), ('b', ('a', ('a', 'b'))))",sigmoid,mul,9.785657051282051
0,0,"('a', 'b')",sigmoid,div,9.805689102564102
1,1,"('b', ('a', 'b'))",sigmoid,sub,9.805689102564102
2,2,"('b', ('b', ('a', 'b')))",sigmoid,mul,9.805689102564102
3,3,"(('b', ('a', 'b')), ('b', ('b', ('a', 'b'))))",sigmoid,sub,9.805689102564102
4,4,"(('a', 'b'), ('b', ('a', 'b')))",sigmoid,mul,9.805689102564102
5,5,"('a', ('a', 'b'))",elu,sub,9.805689102564102
0,0,"('a', 'b')",sigmoid,add,9.775641025641026
1,1,"('a', ('a', 'b'))",elu,div,9.775641025641026
2,2,"('b', ('a', ('a', 'b')))",sigmoid,add,9.775641025641026
3,3,"('a', ('b', ('a', ('a', 'b'))))",elu,mul,9.775641025641026
4,4,"(('a', 'b'), ('a', ('b', ('a', ('a', 'b')))))",elu,sub,9.775641025641026
5,5,"('a', (('a', 'b'), ('a', ('b', ('a', ('a', 'b'))))))",sigmoid,mul,9.775641025641026
0,0,"('a', 'b')",softsign,sub,9.805689102564102
1,1,"('b', ('a', 'b'))",softsign,add,9.805689102564102
2,2,"('b', ('b', ('a', 'b')))",softsign,div,9.805689102564102
3,3,"('a', ('b', ('b', ('a', 'b'))))",sigmoid,sub,9.805689102564102
4,4,"('a', ('b', ('a', 'b')))",sigmoid,mul,9.805689102564102
5,5,"(('a', 'b'), ('a', ('b', ('b', ('a', 'b')))))",sigmoid,add,9.805689102564102
0,0,"('a', 'b')",softsign,mul,9.805689102564102
1,1,"('a', ('a', 'b'))",softsign,div,9.805689102564102
2,2,"(('a', 'b'), ('a', ('a', 'b')))",softsign,sub,9.805689102564102
3,3,"('b', (('a', 'b'), ('a', ('a', 'b'))))",elu,add,9.805689102564102
4,4,"('a', (('a', 'b'), ('a', ('a', 'b'))))",elu,add,9.805689102564102
5,5,"((('a', 'b'), ('a', ('a', 'b'))), ('a', (('a', 'b'), ('a', ('a', 'b')))))",sigmoid,div,9.805689102564102
0,0,"('a', 'b')",softsign,sub,9.805689102564102
1,1,"('a', ('a', 'b'))",sigmoid,add,9.805689102564102
2,2,"('b', ('a', 'b'))",sigmoid,add,9.805689102564102
3,3,"(('a', 'b'), ('a', ('a', 'b')))",sigmoid,mul,9.805689102564102
4,4,"('b', ('a', ('a', 'b')))",sigmoid,div,9.805689102564102
5,5,"(('b', ('a', 'b')), ('b', ('a', ('a', 'b'))))",softsign,add,9.805689102564102
0,0,"('a', 'b')",elu,mul,9.815705128205128
1,1,"('b', ('a', 'b'))",softsign,div,9.815705128205128
2,2,"('a', ('b', ('a', 'b')))",elu,add,9.815705128205128
3,3,"(('b', ('a', 'b')), ('a', ('b', ('a', 'b'))))",softsign,sub,9.815705128205128
4,4,"('b', (('b', ('a', 'b')), ('a', ('b', ('a', 'b')))))",elu,div,9.815705128205128
5,5,"('a', ('b', (('b', ('a', 'b')), ('a', ('b', ('a', 'b'))))))",elu,div,9.815705128205128
0,0,"('a', 'b')",softsign,sub,87.83052884615384
1,1,"('b', ('a', 'b'))",softsign,add,87.83052884615384
2,2,"('b', ('b', ('a', 'b')))",sigmoid,mul,87.83052884615384
